Date,StockCode,QuantitySoldKilo,UnitSellingPrice,WholesalePrice,LossRatePct,ItemName,CategoryName,Year,Month,Day,DayOfWeek,IsWeekend
2020-10-30,102900005115168,6.4270000000000005,5.0,3.0,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2020,10,30,4,0
2020-10-31,102900005115168,7.2509999999999994,5.0,3.0,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2020,10,31,5,1
2020-11-01,102900005115168,13.126,4.6,3.0,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2020,11,1,6,1
2020-12-04,102900005115168,5.972,3.0,1.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2020,12,4,4,0
2021-03-03,102900005115168,11.568,5.0,1.6,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,3,3,2,0
2021-03-04,102900005115168,22.605,3.3999999999999995,2.2,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,3,4,3,0
2021-03-05,102900005115168,21.036,3.3999999999999995,2.2,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,3,5,4,0
2021-03-06,102900005115168,18.964,3.4,2.2,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,3,6,5,1
2021-03-07,102900005115168,21.69,3.4,2.2,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,3,7,6,1
2021-03-09,102900005115168,7.072,3.4,2.2,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,3,9,1,0
2021-03-14,102900005115168,5.208,3.4,2.0,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,3,14,6,1
2021-05-05,102900005115168,11.395,1.6,0.88,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,5,2,0
2021-05-06,102900005115168,6.231,1.3999999999999997,0.83,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,6,3,0
2021-05-07,102900005115168,7.029,1.4,0.9000000000000001,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,7,4,0
2021-05-08,102900005115168,6.771,2.0,1.08,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,8,5,1
2021-05-09,102900005115168,11.368,2.0,1.12,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,9,6,1
2021-05-10,102900005115168,17.331,2.0,1.29,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,10,0,0
2021-05-11,102900005115168,16.672,2.0,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,11,1,0
2021-05-12,102900005115168,19.955,2.0,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,12,2,0
2021-05-13,102900005115168,6.871,2.0,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,13,3,0
2021-05-14,102900005115168,7.376,2.0,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,14,4,0
2021-05-15,102900005115168,12.833,2.0,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,15,5,1
2021-05-16,102900005115168,6.125,2.6,1.3999999999999997,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,16,6,1
2021-05-17,102900005115168,27.251,2.6,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,17,0,0
2021-05-18,102900005115168,17.712,2.6,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,18,1,0
2021-05-19,102900005115168,12.582,2.0,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,19,2,0
2021-05-20,102900005115168,13.337,2.0,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,20,3,0
2021-05-21,102900005115168,6.466,2.0,1.3999999999999997,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,21,4,0
2021-05-22,102900005115168,7.287,2.6,1.35,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,22,5,1
2021-05-23,102900005115168,5.388,2.6,3.47,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,23,6,1
2021-05-24,102900005115168,5.309,2.6,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,24,0,0
2021-05-26,102900005115168,7.053,2.6,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,26,2,0
2021-05-27,102900005115168,7.442,2.6,1.4,4.39,Niushou Shengcai,Flower/Leaf Vegetables,2021,5,27,3,0
